Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,TDP CATEGORY,year,'Transistor Density (million per mm^2)',FP16 GFLOPS per W,FP32 GFLOPS per W,FP64 GFLOPS per W
2484,AMD Radeon HD 7970 X2,GPU,2012-08-31,28.0,500.0,352.0,4313.0,925.0,TSMC,AMD,0.0,3789.0,947.2,,2012.0,12.252840909090908,0.0,7.578,1.8944
2485,NVIDIA GeForce GT 1030 DDR4,GPU,2018-03-12,14.0,20.0,74.0,1800.0,1152.0,Samsung,NVIDIA,16.55,1059.0,33.1,low<30,2018.0,24.324324324324323,0.8275,52.95,1.655
2486,Intel UHD Graphics 630,GPU,2017-09-01,14.0,15.0,148.0,624.0,350.0,Intel,Intel,772.8,386.4,96.6,low<30,2017.0,4.216216216216216,51.519999999999996,25.759999999999998,6.4399999999999995
2487,NVIDIA PG506-232,GPU,2021-04-12,7.0,165.0,826.0,54200.0,930.0,TSMC,NVIDIA,10320.0,10320.0,5161.0,high <200,2021.0,65.61743341404359,62.54545454545455,62.54545454545455,31.278787878787877
2488,NVIDIA Quadro K600,GPU,2013-03-01,28.0,41.0,118.0,1270.0,876.0,TSMC,NVIDIA,0.0,336.4,14.02,medium <100,2013.0,10.76271186440678,0.0,8.204878048780488,0.3419512195121951
2489,NVIDIA GeForce GTX 1660 Ti Mobile,GPU,2019-04-23,12.0,65.0,284.0,6600.0,1455.0,TSMC,NVIDIA,9769.0,4884.0,152.6,,2019.0,23.239436619718308,150.2923076923077,75.13846153846154,2.3476923076923075
2490,ATI Mobility Radeon X1350,GPU,2006-09-18,80.0,65.0,100.0,107.0,371.0,UMC,ATI,0.0,0.0,0.0,,2006.0,1.07,0.0,0.0,0.0
2491,NVIDIA GeForce FX 5200 PCI,GPU,2003-03-06,150.0,65.0,91.0,45.0,250.0,TSMC,NVIDIA,0.0,0.0,0.0,,2003.0,0.4945054945054945,0.0,0.0,0.0
2492,ATI Radeon X1300 XT AGP,GPU,2006-08-12,90.0,22.0,150.0,157.0,500.0,TSMC,ATI,0.0,0.0,0.0,low<30,2006.0,1.0466666666666666,0.0,0.0,0.0
2493,AMD Radeon R5 230,GPU,2014-04-03,40.0,19.0,67.0,370.0,625.0,TSMC,AMD,0.0,200.0,0.0,low<30,2014.0,5.522388059701493,0.0,10.526315789473685,0.0
2495,AMD Radeon HD 7970,GPU,2011-12-22,28.0,250.0,352.0,4313.0,925.0,TSMC,AMD,0.0,3789.0,947.2,,2011.0,12.252840909090908,0.0,15.156,3.7888
2497,ATI Radeon X1300 XT,GPU,2006-08-12,90.0,22.0,150.0,157.0,500.0,TSMC,ATI,0.0,0.0,0.0,low<30,2006.0,1.0466666666666666,0.0,0.0,0.0
2498,ATI Radeon X1300 PRO AGP,GPU,2005-10-01,90.0,31.0,100.0,107.0,600.0,TSMC,ATI,0.0,0.0,0.0,medium <100,2005.0,1.07,0.0,0.0,0.0
2499,AMD Radeon E9171 MCM,GPU,2017-10-03,14.0,40.0,103.0,2200.0,1124.0,GF,AMD,1248.0,1248.0,78.02,medium <100,2017.0,21.359223300970875,31.2,31.2,1.9505
2500,NVIDIA GeForce Go 7300,GPU,2006-02-01,90.0,65.0,81.0,112.0,350.0,TSMC,NVIDIA,0.0,0.0,0.0,,2006.0,1.382716049382716,0.0,0.0,0.0
2501,NVIDIA Quadro FX 2700M,GPU,2008-08-14,65.0,65.0,240.0,505.0,530.0,TSMC,NVIDIA,0.0,127.2,0.0,medium <100,2008.0,2.1041666666666665,0.0,1.956923076923077,0.0
2502,Intel GMA 950,GPU,2006-01-01,90.0,7.0,148.0,624.0,250.0,Intel,Intel,0.0,0.0,0.0,low<30,2006.0,4.216216216216216,0.0,0.0,0.0
2503,NVIDIA GeForce FX Go5300,GPU,2003-03-01,150.0,65.0,124.0,45.0,275.0,TSMC,NVIDIA,0.0,0.0,0.0,,2003.0,0.3629032258064516,0.0,0.0,0.0
2504,AMD Radeon E8860,GPU,2014-01-25,28.0,37.0,123.0,1500.0,575.0,TSMC,AMD,0.0,800.0,50.0,medium <100,2014.0,12.195121951219512,0.0,21.62162162162162,1.3513513513513513
2505,AMD Radeon Pro Vega 16,GPU,2018-11-14,14.0,75.0,148.0,624.0,815.0,GF,AMD,4874.0,2437.0,152.3,medium <100,2018.0,4.216216216216216,64.98666666666666,32.49333333333333,2.030666666666667
2506,NVIDIA GeForce 6800 XT,GPU,2005-09-30,110.0,65.0,287.0,222.0,300.0,TSMC,NVIDIA,0.0,0.0,0.0,,2005.0,0.7735191637630662,0.0,0.0,0.0
2507,NVIDIA GeForce 7300 GS Low Profile,GPU,2006-01-18,90.0,23.0,81.0,112.0,450.0,TSMC,NVIDIA,0.0,0.0,0.0,low<30,2006.0,1.382716049382716,0.0,0.0,0.0
2508,ATI Radeon HD 4570 Rebrand,GPU,2009-11-22,55.0,65.0,135.0,378.0,796.0,TSMC,ATI,0.0,191.0,0.0,medium <100,2009.0,2.8,0.0,2.9384615384615387,0.0
2509,Intel Xeon Phi 5110P,GPU,2012-11-12,22.0,225.0,350.0,5000.0,1053.0,Intel,Intel,0.0,505.4,0.0,,2012.0,14.285714285714286,0.0,2.2462222222222223,0.0
2510,NVIDIA GeForce 9800S,GPU,2008-07-15,65.0,75.0,240.0,505.0,600.0,TSMC,NVIDIA,0.0,192.0,0.0,medium <100,2008.0,2.1041666666666665,0.0,2.56,0.0
2511,NVIDIA GeForce 7025 + nForce 630a,GPU,2006-02-01,90.0,65.0,81.0,112.0,425.0,Unknown,NVIDIA,0.0,0.0,0.0,,2006.0,1.382716049382716,0.0,0.0,0.0
2512,AMD Radeon R9 M485X,GPU,2016-05-15,28.0,250.0,366.0,5000.0,723.0,TSMC,AMD,2961.0,2961.0,185.1,,2016.0,13.66120218579235,11.844,11.844,0.7404
2513,NVIDIA GeForce GTX 480M,GPU,2010-05-25,40.0,100.0,529.0,3100.0,425.0,TSMC,NVIDIA,0.0,598.4,74.8,medium <100,2010.0,5.8601134215500945,0.0,5.984,0.748
2514,NVIDIA GeForce GTX 285 Mac Edition,GPU,2009-01-15,55.0,204.0,470.0,1400.0,648.0,TSMC,NVIDIA,0.0,708.5,88.56,,2009.0,2.978723404255319,0.0,3.4730392156862746,0.43411764705882355
2516,ATI Radeon SDR PCI,GPU,2000-06-01,180.0,23.0,115.0,30.0,166.0,TSMC,ATI,0.0,0.0,0.0,low<30,2000.0,0.2608695652173913,0.0,0.0,0.0
2517,NVIDIA GeForce 9500 GS Rev. 2,GPU,2008-07-29,55.0,40.0,121.0,314.0,500.0,TSMC,NVIDIA,0.0,80.0,0.0,medium <100,2008.0,2.5950413223140494,0.0,2.0,0.0
2518,AMD Radeon RX Vega 11,GPU,2019-07-07,14.0,15.0,210.0,4940.0,300.0,GF,AMD,3942.0,1971.0,123.2,low<30,2019.0,23.523809523809526,262.8,131.4,8.213333333333333
2519,ATI Mobility Radeon HD 5165,GPU,2010-01-07,55.0,35.0,146.0,514.0,600.0,TSMC,ATI,0.0,384.0,0.0,medium <100,2010.0,3.5205479452054793,0.0,10.971428571428572,0.0
2520,ATI Radeon X800 GTO AGP,GPU,2007-11-08,130.0,49.0,281.0,160.0,400.0,TSMC,ATI,0.0,0.0,0.0,medium <100,2007.0,0.5693950177935944,0.0,0.0,0.0
2521,AMD Radeon R5 235X OEM,GPU,2013-12-21,40.0,18.0,67.0,370.0,875.0,TSMC,AMD,0.0,280.0,0.0,low<30,2013.0,5.522388059701493,0.0,15.555555555555555,0.0
2522,NVIDIA Quadro Plex 2100 D4,GPU,2008-07-25,65.0,640.0,324.0,754.0,500.0,TSMC,NVIDIA,0.0,320.0,0.0,,2008.0,2.3271604938271606,0.0,0.5,0.0
2523,AMD Radeon Pro Duo Polaris,GPU,2017-04-24,14.0,250.0,232.0,5700.0,1243.0,GF,AMD,5728.0,5728.0,358.0,,2017.0,24.56896551724138,22.912,22.912,1.432
2524,AMD Radeon RX 550X,GPU,2018-12-16,14.0,50.0,103.0,2200.0,1100.0,GF,AMD,1211.0,1211.0,75.71,medium <100,2018.0,21.359223300970875,24.22,24.22,1.5141999999999998
2525,NVIDIA GeForce GTX 1080 Max-Q,GPU,2017-06-27,16.0,150.0,314.0,7200.0,1290.0,TSMC,NVIDIA,117.4,7516.0,234.9,high <200,2017.0,22.929936305732483,0.7826666666666667,50.10666666666667,1.566
