Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,TDP CATEGORY,year,'Transistor Density (million per mm^2)',FP16 GFLOPS per W,FP32 GFLOPS per W,FP64 GFLOPS per W,Log Transistors (million),Log FP16 GFLOPS,Log FP32 GFLOPS,Log FP64 GFLOPS
1632,AMD Opteron 240,CPU,2004-05-18,130.0,0.0476215271145434,0.0995026008459823,106.0,-0.089117671289808,Unknown,AMD,0.0,0.0,0.0,medium <100,2004.0,0.5492227979274611,0.0,0.0,0.0,-1.1259270481529586,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1633,AMD Athlon 64 X2 4200+ EE,CPU,2006-05-23,90.0,-0.1924452219154178,0.3324033408637532,154.0,0.6595017837931896,Unknown,AMD,0.0,0.0,0.0,medium <100,2006.0,0.7,0.0,0.0,0.0,-0.8771617162097396,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1634,AMD Phenom II X6 1075T,CPU,2010-09-21,45.0,0.6548491864256222,1.4192734609466835,904.0,1.4081212388761872,Unknown,AMD,0.0,0.0,0.0,high <200,2010.0,2.61271676300578,0.0,0.0,0.0,0.307277776452183,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1635,Intel Core 2 Quad Q6600 (95W),CPU,2007-07-23,65.0,0.2312019822551021,-0.3317950658535932,582.0,0.8466566475639391,Intel,Intel,0.0,0.0,0.0,medium <100,2007.0,4.06993006993007,0.0,0.0,0.0,0.0120940360677656,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1636,Intel Pentium Dual-Core T4300,CPU,2009-04-01,45.0,-0.6160924260859378,-0.6423293858772877,410.0,0.5659243519078149,Intel,Intel,0.0,0.0,0.0,medium <100,2009.0,3.83177570093458,0.0,0.0,0.0,-0.222573348820758,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1637,Intel Core i5-7500,CPU,2017-01-03,14.0,-0.1924452219154178,-0.2886652991836356,624.0,1.782430966417686,Intel,Intel,0.0,0.0,0.0,medium <100,2017.0,4.216216216216216,0.0,0.0,0.0,0.0587896659076023,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1638,Intel Celeron G1830,CPU,2013-12-01,22.0,-0.3477825301112752,-0.0385126524978818,1400.0,1.2209663751054378,Intel,Intel,0.0,0.0,0.0,medium <100,2013.0,7.909604519774011,0.0,0.0,0.0,0.6006214976723376,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1639,Intel Xeon 7130N,CPU,2006-08-27,65.0,1.0078885232343888,2.1869833076719285,1328.0,1.5634597758059092,Intel,Intel,0.0,0.0,0.0,high <200,2006.0,3.052873563218391,0.0,0.0,0.0,0.5652063246844925,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1640,Intel Xeon Phi 3120A,CPU,2013-06-17,22.0,3.126124544086989,1.4537772742826498,5000.0,-0.3698499669459322,Intel,Intel,0.0,0.0,0.0,,2013.0,14.285714285714286,0.0,0.0,0.0,1.4547635003828576,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1641,Intel Core i3-4350,CPU,2014-05-01,22.0,-0.3477825301112752,-0.0385126524978818,1400.0,1.9695858301884357,Intel,Intel,0.0,0.0,0.0,medium <100,2014.0,7.909604519774011,0.0,0.0,0.0,0.6006214976723376,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
